angle,k,t0,comments
br-cp-cp,126.96,118.13,paf-br gaff
c_0-c_0-c_0,1000,120,
c_0-c_0-nb,1000,118,
c_0-c_0-o_1,1000,120,
c_0-nb-cpa,800,138,
c_1-c2-hc,95.26,107.66,link2 gaff
c_1-o_2-c2,127.26,115.14,link4 gaff
c_1-o_2-ho2,102.38,107.37,link2 gaff
c-c-h,330,109,
c-cp-cp,200,0,
c-cp-cp,127.68,120.63,paf-br gaff
c=-c=1-ct,133.36,121.58,cyano-c3
c=-cp-cp,129.76,120.66,cyano-c3
c=-Ni-cp,120,62.5,
c=1-c=-cp,128.1,127.44,cyano-c3
c=1-c=-hc,99.14,121.19,cyano-c3
c=1-ct-nt,118.82,177.89,cyano-c3
c=2-c=2-cp,128.18,127.3,cyano-c2
c=2-c=2-ct,132.3,123.63,cyano-c2
c=2-c=2-hc,100.36,118.29,cyano-c2
c=2-cp-cp,129.76,120.66,cyano-c2
c=2-ct-nt,118.74,178.12,cyano-c2
c1-cp-cp,2500,120,
c1-cp-np,2500,120,
c2-c_1-o_1,136.06,123.11,link2 gaff
c2-c_1-o_2,139.68,112.2,link2 gaff
c2-c2-c2,126.42,110.63,thf
c2-c2-cl,124.4,110.33,dce gaff
c2-c2-hc,92.72,110.07, dce gaff
c2-c2-oh,135.44,109.43,butoh
c2-c3-hc,92.74,110.05,link4 gaff
c2-cp-cp,2500,120,
c2-cp-cp,127.68,120.63,link5 gaff
c2-oc-c2,124.78,112.45,thf
c2-oh-ho,94.18,108.16,butoh
c3-c2-c2,126.42,110.63,butoh
c3-c2-hc,92.74,110.05,link4 gaff
c3-n3m-c4,127.84,121.35,dmf gaff
c3a-c3a-c3a,700,120,
c3o-cp-cp,129.28,120.14,cyano-c3
c4-n3m-c4,126.26,115.56,dmf gaff
c5-c5-cp,134.36,119.97,link1 gaff
c5-c5-nh,140.42,118.34,link3 gaff
c5-c5-np,140.28,119.72,link1 gaff
c5-c5-npc,140.42,118.34,link2 gaff
c5-cp-br,126.96,118.13,link1 gaff
c5-cp-cp,134.36,119.97,link1 gaff
c5-nh-c5,136.92,113.15,link3 gaff
c5-nh-hn,95.26,125.59,link3 gaff
c5-np-c5,145.34,104.24,link1 gaff
c5-npc-c2,126.3,124.36,link2 gaff
c5-npc-c3,126.3,124.36,link1 gaff
c5-npc-c5,136.92,113.15,link1 gaff
cg-cg-cg,3000,120,graphite sheet strong almost rigid
cl-c2-hc,87.42,105.93,dce gaff
coh-cp-cp,127.68,120.63,benzene-fda-acid gaff
coh-oh-c3,124.78,112.45,benzene-fda-acid gaff
cp-c-cp,127.32,112.26,paf-br gaff
cp-c=-c=1,128.1,127.44,cyano-c3
cp-c=-hc,94.12,115.21,cyano-c3
cp-c=1-c=,130.32,123.08,cyano-c3
cp-c=1-ct,129.31,118.16,cyano-c3
cp-c=1-ct,129.312,118.16,cyano-c3
cp-c=2-c=2,128.18,127.3,cyano-c2
cp-c=2-ct,130.43,116.14,cyano-c2
cp-c=2-ct,130.434,116.14,cyano-c2
cp-c=2-hc,94.16,115.12,cyano-c2
cp-c1-cp,2500,109,
cp-c1-h1,330,120,
cp-c1-o_1,700,109,
cp-c2-cp,2500,109,
cp-c2-hc,330,109,
cp-c2-hc,93.56,110.95,link5 gaff
cp-c3o-h1,93.04,115.14,cyano-c3
cp-c3o-o1=,137.34,123.44,cyano-c3
cp-c5-c5,134.36,119.97,link2 gaff
cp-c5-nh,140.42,118.34,link3 gaff
cp-c5-np,140.28,119.72,link2 gaff
cp-c5-npc,140.42,118.34,link2 gaff
cp-coh-cp,127.32,112.26,benzene2-2fda gaff
cp-coh-hc,93.56,110.95,benzene-fda-acid gaff
cp-coh-o,136.38,108.89,benzene-fda-acid gaff
cp-coh-oh,136.38,108.89,benzene-fda-acid gaff
cp-cp-br,126.96,118.13,paf-br gaff
cp-cp-c,200,180,
cp-cp-c=,129.76,120.66,cyano-c3
cp-cp-c=1,129.76,120.66,cyano-c3
cp-cp-c=2,129.76,120.6,cyano-c2
cp-cp-c1,2500,120,
cp-cp-c2,2500,120,
cp-cp-c3o,129.28,120.14,cyano-c3
cp-cp-c5,134.36,119.97,link1 gaff
cp-cp-coh,127.68,120.63,benzene-fda-acid gaff
cp-cp-cp,300,120,
cp-cp-cp,134.36,120,benzene-fda-acid gaff
cp-cp-ct,700,120,
cp-cp-ct,131.8,120,CMP-1 gaff
cp-cp-hc,96.92,120,benzene-fda-acid gaff
cp-cp-i,117,120,UNIT-I
cp-cp-sf,156.04,119.89,benzene-fda-acid gaff
cp-cpa-cpa,800,120,
cp-cpa-nb,800,120,
cp-cpp-cpp,300,120,
cp-ct-ct,700,180,
cp-ct-ct,113,179.46,CMP-1 gaff
cp-ct-nt,700,180,
cp-Ni-cp,120,62.5,
cp-sf-o=,82.4,108.73,benzene-fda-acid gaff
cp-sf-oh,82.14,101.25,benzene-fda-acid gaff
cpa-cp-cpa,800,120,
cpa-cp-hc,800,120,
cpa-cpa-cp,800,120,
cpa-cpa-cpa,800,120,
cpa-cpa-hc,800,119,
cpa-cpa-nb,800,120,
cpa-nb-c_0,800,138,
cpa-nb-hc,800,112,
cpa-nb-hn,800,112,
cpm-cpm-cpm,800,120,aza
cpp-cpp-cp,300,120,
cpp-cpp-cp,800,120,aza
cpp-cpp-cpp,800,120,aza
ct-c=2-c=2,132.3,123.63,cyano-c2
ct-c=2-cp,130.43,116.14,cyano-c2
ct-c=2-cp,130.434,116.14,cyano-c2
ct-cp-cp,700,120,
ct-cp-cp,131.8,120,CMP-1 gaff
ct-ct-cp,700,180,
ct-ct-cp,113,179.46,CMP-1 gaff
ct-ct-hc,87.96,180,triethynylbenzene
h-c-c,330,109,
h1-c1-cp,330,109,
h1-c3-n3m,104.78,112.19,dmf gaff
h1-c3o-cp,93.04,115.14,cyano-c3
h1-c4-h1,78.36,109.55,dmf gaff
hc-c=-cp,94.12,115.21,cyano-c3
hc-c=-hc,76.04,117.65,cyano-c3
hc-c2-cp,330,109,
hc-c2-hc,78.36,109.55,dce gaff
hc-c3-hc,78.36,109.55,benzene-fda-acid gaff
hc-coh-cp,93.56,110.95,benzene-fda-acid gaff
hc-coh-hc,78,109.19,FDA gaff
hc-coh-oh,101.68,108.82,benzene-fda-acid gaff
hc-Ni-cp,120,97.6,
hn-nb-hn,800,110,
n3m-c4-h1,99.64,109.32,dmf gaff
nb-c_0-c_0,1000,118,
nh-c5-hc,99.52,122.1,link3 gaff
Ni-cp-cp,120,87.6,
np-c5-cp,140.28,119.72,link1 gaff
np-c5-hc,100.26,125.38,link1 gaff
np-c5-nh,149.56,112.02,link3 gaff
np-c5-npc,149.56,112.02,link2 gaff
np-cp-c1,2500,120,
npc-c2-c_1,133.62,111.37,link2 gaff
npc-c2-cp,132.54,112.81,link5 gaff
npc-c2-hc,99.8,109.45,link2 gaff
npc-c3-hc,99.8,109.45,link1 gaff
npc-c5-c5,140.42,118.34,link1 gaff
npc-c5-cp,140.42,118.34,link1 gaff
npc-c5-hc,99.52,122.1,link1 gaff
npc-c5-np,149.56,112.02,link1 gaff
o_1-c_1-o_2,151.86,123.33,link4 gaff
o_2-c_1-o_1,154.76,122.88,link2 gaff
o_2-c2-c3,135.56,108.42,link4 gaff
o_2-c2-hc,101.68,108.82,link4 gaff
o-coh-cp,136.38,108.89,benzene-fda-acid gaff
o-coh-hc,101.68,108.58,FDA gaff
o-coh-o,143.44,110.24,FDA gaff
o-coh-oh,143.44,110.24,FDA gaff
o-s-o,800,112,
o=-sf-o=,90.6,121.88,benzene-fda-acid gaff
o1=-c3-h1,107.78,123.26,dmf gaff
o1=-c3-n3m,151.66,122.03,dmf gaff
o1=-c3o-cp,137.34,123.44,cyano-c3
o1=-c3o-h1,108.56,120.93,cyano-c3
oc-c2-c2,135.56,108.42,thf
oc-c2-hc,101.68,108.82,thf
oh-c2-hc,101.94,109.88,butoh
oh-c3-hc,101.68,108.82,benzene-fda-acid gaff
oh-coh-cp,136.38,108.89,benzene-fda-acid gaff
oh-sf-o=,90.42,106.93,benzene-fda-acid gaff
sf-oh-ho,111.88,106.41,benzene-fda-acid gaff
