angle,k,t0,comments
c2-c2-hc,92.72,110.07, dce gaff
cl-c2-hc,87.42,105.93,dce gaff
hc-c2-hc,78.36,109.55,dce gaff
c2-c2-cl,124.40,110.33,dce gaff
o-coh-o,143.44,110.24,FDA gaff
o-coh-hc,101.68,108.58,FDA gaff
hc-coh-hc,78.00,109.19,FDA gaff
o-coh-oh,143.44,110.24,FDA gaff
cp-cp-cp,134.36,120.0,benzene-fda-acid gaff
cp-cp-hc,96.92,120.0,benzene-fda-acid gaff
coh-cp-cp,127.68,120.63,benzene-fda-acid gaff
o-coh-cp,136.38,108.89,benzene-fda-acid gaff
hc-coh-cp,93.56,110.95,benzene-fda-acid gaff
cp-cp-sf,156.04,119.89,benzene-fda-acid gaff
cp-sf-oh,82.14,101.25,benzene-fda-acid gaff
cp-sf-o=,82.40,108.73,benzene-fda-acid gaff
sf-oh-ho,111.88,106.41,benzene-fda-acid gaff
oh-sf-o=,90.42,106.93,benzene-fda-acid gaff
o=-sf-o=,90.60,121.88,benzene-fda-acid gaff
cp-cp-coh,127.68,120.63,benzene-fda-acid gaff
cp-coh-hc,93.56,110.95,benzene-fda-acid gaff
cp-coh-oh,136.38,108.89,benzene-fda-acid gaff
oh-coh-cp,136.38,108.89,benzene-fda-acid gaff
coh-oh-c3,124.78,112.45,benzene-fda-acid gaff
hc-coh-oh,101.68,108.82,benzene-fda-acid gaff
oh-c3-hc,101.68,108.82,benzene-fda-acid gaff
hc-c3-hc,78.36,109.55,benzene-fda-acid gaff
cp-coh-o,136.38,108.89,benzene-fda-acid gaff
cp-coh-cp,127.32,112.26,benzene2-2fda gaff
cg-cg-cg,3000.0,120.0,graphite sheet strong almost rigid
o1=-c3-h1,107.78,123.26,dmf gaff
o1=-c3-n3m,151.66,122.03,dmf gaff
c3-n3m-c4,127.84,121.35,dmf gaff
h1-c3-n3m,104.78,112.19,dmf gaff
n3m-c4-h1,99.64,109.32,dmf gaff
c4-n3m-c4,126.26,115.56,dmf gaff
h1-c4-h1,78.36,109.55,dmf gaff
c-cp-cp,127.68,120.63,paf-br gaff
cp-c-cp,127.32,112.26,paf-br gaff
cp-cp-br,126.96,118.13,paf-br gaff
br-cp-cp,126.96,118.13,paf-br gaff
npc-c5-c5,140.42,118.34,link1 gaff
npc-c5-cp,140.42,118.34,link1 gaff
npc-c5-np,149.56,112.02,link1 gaff
npc-c5-hc,99.52,122.10,link1 gaff
npc-c3-hc,99.80,109.45,link1 gaff
c5-npc-c5,136.92,113.15,link1 gaff
c5-npc-c3,126.30,124.36,link1 gaff
c5-c5-np,140.28,119.72,link1 gaff
c5-c5-cp,134.36,119.97,link1 gaff
c5-cp-cp,134.36,119.97,link1 gaff
c5-cp-br,126.96,118.13,link1 gaff
c5-np-c5,145.34,104.24,link1 gaff
np-c5-cp,140.28,119.72,link1 gaff
np-c5-hc,100.26,125.38,link1 gaff
cp-cp-c5,134.36,119.97,link1 gaff
cp-c5-c5,134.36,119.97,link2 gaff
cp-c5-np,140.28,119.72,link2 gaff
c5-c5-npc,140.42,118.34,link2 gaff
c5-npc-c2,126.30,124.36,link2 gaff
cp-c5-npc,140.42,118.34,link2 gaff
np-c5-npc,149.56,112.02,link2 gaff
npc-c2-c_1,133.62,111.37,link2 gaff
npc-c2-hc,99.80,109.45,link2 gaff
c2-c_1-o_2,139.68,112.20,link2 gaff
c2-c_1-o_1,136.06,123.11,link2 gaff
c_1-c2-hc,95.26,107.66,link2 gaff
c_1-o_2-ho2,102.38,107.37,link2 gaff
o_2-c_1-o_1,154.76,122.88,link2 gaff
c5-c5-nh,140.42,118.34,link3 gaff
c5-nh-c5,136.92,113.15,link3 gaff
c5-nh-hn,95.26,125.59,link3 gaff
cp-c5-nh,140.42,118.34,link3 gaff
np-c5-nh,149.56,112.02,link3 gaff
nh-c5-hc,99.52,122.10,link3 gaff
c_1-o_2-c2,127.26,115.14,link4 gaff
o_1-c_1-o_2,151.86,123.33,link4 gaff
o_2-c2-c3,135.56,108.42,link4 gaff
o_2-c2-hc,101.68,108.82,link4 gaff
c2-c3-hc,92.74,110.05,link4 gaff
c3-c2-hc,92.74,110.05,link4 gaff
npc-c2-cp,132.54,112.81,link5 gaff
c2-cp-cp,127.68,120.63,link5 gaff
cp-c2-hc,93.56,110.95,link5 gaff
cp-cp-ct,131.80,120.0,cmp1 gaff
ct-cp-cp,131.80,120.0,cmp1 gaff
ct-ct-cp,113.06,179.46,cmp1 gaff
cp-ct-ct,113.06,179.46,cmp1 gaff
ct-ct-br,109.86,180.0,cmp1 gaff
