A,B,k,r0,comments
c2,c2,606.2,1.535,dce gaff
c2,cl,558.0,1.786,dce gaff
c2,hc,671.8,1.093,dce gaff
o,coh,628.2,1.426,fda gaff
coh,hc,671.8,1.093,fda gaff
cp,cp,956.8,1.387,triphenyl gaff
cp,hc,688.6,1.087,triphenyl gaff
sf,o=,986.0,1.466,acid gaff
sf,oh,580.8,1.649,acid gaff
oh,ho,739.2,0.974,acid gaff
cp,sf,495.4,1.784,acid triphenyl gaff
c3,hc,671.8,1.093,benzene-fda-acid gaff
c3,oh,603.0,1.439,benzene-fda-acid gaff
coh,cp,647.0,1.513,benzene-fda-acid gaff
coh,oh,603.0,1.439,benzene-fda-acid gaff
cg,cg,3000,1.387,graphite sheet strong almost rigid
o1=,c3,1296,1.214,dmf gaff
c3,h1,638.8,1.1053,dmf gaff
c3,n3m,956.4,1.345,dmf gaff
n3m,c4,661.2,1.460,dmf gaff
c4,h1,671.8,1.093,dmf gaff
c,cp,647,1.513,paf-br gaff
cp,br,539.2,1.897,paf-br gaff
npc,c3,669.4,1.456,link-1 gaff
npc,c5,940.6,1.350,link-1 gaff
c5,cp,956.8,1.387,link-1 gaff
c5,c5,956.8,1.387,link-1 gaff
c5,np,985.8,1.336,link-1 gaff
np,c5,985.8,1.336,link-1 gaff
c5,hc,712,1.079,link-1 gaff
npc,c2,669.4,1.456,link-2 gaff
c2,c_1,656.6,1.508,link-2 gaff
c_1,o_2,932.8,1.306,link-2 gaff
c_1,o_1,1296,1.214,link-2 gaff
o_2,ho2,739.2,0.974,link-2 gaff
c5,nh,940.6,1.350,link-3 gaff
nh,hn,813.2,1.011,link-3 gaff
o_2,c2,603.0,1.439,link-4 gaff
c2,c3,606.2,1.535,link-4 gaff
c2,cp,647.0,1.513,link-5 gaff
cp,ct,813.2,1.438,cmp1 gaff
ct,br,705.4,1.787,cmp1 gaff
ct,ct,1691.6,1.222,cmp1 gaff
