improper,k,chi,comments
c_0-c_0-c_0-nb,200,0,aza
c_0-c_0-c_0-o_1,200,0,aza
c_0-c_0-nb-c_0,200,0,aza
c_0-c_0-o_1-c_0,200,0,aza
c_0-nb-c_0-c_0,200,0,aza
c_0-o_1-c_0-c_0,200,0,aza
c=-c=1-cp-hc,0,0,cyano
c=-c=1-hc-cp,0,0,cyano
c=-c=1-hc-hc,0,0,cyano
c=-cp-c=1-hc,0,0,cyano
c=-cp-hc-c=1,0,0,cyano
c=-hc-c=1-cp,0,0,cyano
c=-hc-c=1-hc,0,0,cyano
c=-hc-cp-c=1,0,0,cyano
c=-hc-hc-c=1,0,0,cyano
c=1-c=-cp-ct,0,0,cyano
c=1-c=-ct-cp,0,0,cyano
c=1-cp-c=-ct,0,0,cyano
c=1-cp-ct-c=,0,0,cyano
c=1-ct-c=-cp,0,0,cyano
c=1-ct-cp-c=,0,0,cyano
c2-c2-cl-hc,0,0,
c2-c2-hc-hc,0,0,
c2-cl-hc-hc,0,0,
c3-hc-hc-hc,0,0,
c3-hc-hc-oh,0,0,
c3-hc-oh-hc,0,0,
c3-oh-hc-hc,0,0,
c3o-cp-h1-o1=,0,0,cyano
c3o-cp-o1=-h1,0,0,cyano
c3o-h1-cp-o1=,0,0,cyano
c3o-h1-o1=-cp,0,0,cyano
c3o-o1=-cp-h1,0,0,cyano
c3o-o1=-h1-cp,0,0,cyano
cg-cg-cg-cg,0,0,
coh-cp-cp-hc,0,0,
coh-cp-hc-cp,0,0,
coh-cp-hc-hc,0,0,
coh-cp-hc-oh,0,0,
coh-cp-oh-hc,0,0,
coh-hc-cp-cp,0,0,
coh-hc-cp-hc,0,0,
coh-hc-cp-oh,0,0,
coh-hc-hc-cp,0,0,
coh-hc-hc-oh,0,0,
coh-hc-oh-cp,0,0,
coh-hc-oh-hc,0,0,
coh-oh-cp-hc,0,0,
coh-oh-hc-cp,0,0,
coh-oh-hc-hc,0,0,
cp-c=-cp-cp,0,0,cyano
cp-c=1-cp-cp,0,0,cyano
cp-c3o-cp-cp,0,0,cyano
cp-coh-cp-cp,0,0,
cp-cp-c=-cp,0,0,cyano
cp-cp-c=1-cp,0,0,cyano
cp-cp-c3o-cp,0,0,cyano
cp-cp-coh-cp,0,0, 
cp-cp-cp-c=,0,0,cyano
cp-cp-cp-c=1,0,0,cyano
cp-cp-cp-c3o,0,0,cyano
cp-cp-cp-coh,0,0,
cp-cp-cp-cp,0,0,
cp-cp-cp-hc,0,0,
cp-cp-cp-i,0,0,cyano
cp-cp-cp-np,200,0,
cp-cp-cp-sf,0,0,
cp-cp-ct-nt,200,0,
cp-cp-hc-cp,0,0,
cp-cp-i-cp,0,0,cyano
cp-cp-sf-cp,0,0,
cp-cpa-cpa-hc,200,0,aza
cp-cpa-hc-cpa,200,0,aza
cp-hc-cp-cp,0,0,
cp-hc-cpa-cpa,200,0,
cp-hc-cpa-cpa,0,0,aza
cp-sf-cp-cp,0,0,
cpa-cp-cpa-nb,200,0,aza
cpa-cp-nb-cpa,200,0,aza
cpa-cpa-cp-hc,200,0,
cpa-cpa-cp-nb,200,0,aza
cpa-cpa-hc-cpa,200,0,
cpa-cpa-nb-cp,200,0,aza
cpa-nb-cp-cpa,200,0,aza
cpa-nb-cpa-cp,200,0,aza
cpm-cpm-cpm-cpm,0,0,aza
cpp-cpp-cpp-cpp,0,0,aza
nb-cpa-hn-hn,200,0,aza
nb-hn-cpa-hn,200,0,aza
nb-hn-hn-cpa,200,0,aza
np-cp-cp-cp,200,0,
nt-ct-cp-cp,200,0,
s-o-o-o,200,0,aza
sf-cp-o=-o=,0,0,
sf-cp-o=-oh,0,0,
sf-cp-oh-o=,0,0,
sf-o=-cp-o=,0,0,
sf-o=-cp-oh,0,0,
sf-o=-o=-cp,0,0,
sf-o=-o=-oh,0,0,
sf-o=-oh-cp,0,0,
sf-o=-oh-o=,0,0,
sf-oh-cp-o=,0,0,
sf-oh-o=-cp,0,0,
sf-oh-o=-o=,0,0,
