atom1,atom2,epsilon,sigma,comments
br,br,0.42,3.599,
br,c=,0.1901,3.4995,
br,npc,0.2672,3.4245,
br,n3m,0.0376,3.4893,
br,c5,0.1901,3.4995,
br,Ni,0.08,1.7085,
br,np,0.2672,3.4245,
br,o_1,0.297,3.2795,
br,c_1,0.1901,3.4995,
br,ho2,0,1.7995,
br,nh,0.2672,3.4245,
br,ct,0.1901,3.4994,
br,ow,0.2526,3.3748,
br,hw,0,1.7995,
br,i,0.4583,3.715,
br,c=2,0.1901,3.4995,
br,nt,0.2672,3.4245,
br,ct,0.297,3.4995,
br,c=1,0.1901,3.4995,
br,oc,0.2672,3.2995,
br,na,0.2672,3.4245,
c,br,0.214,3.4995,
c,c,0.109,3.4,
c,c=,0.0968,3.4,
c,hc,0.1106,3.7736,
c,c1,0.0933,3.7736,
c,cl,0.0933,3.7736,
c,h,0.1106,3.7736,
c,hi,0.0,3.7736,
c,n3a,0.1187,3.9357,
c,o1=,0.1598,3.664,
c,n3m,0.1187,3.9357,
Ni,n3m,0.1187,3.9357,
c,Ni,0.08,1.7085,
c,npc,0.1361,3.325,
c,c5,0.0968,3.4,
c,np,0.1361,3.325,
c,o_1,0.1513,3.18,
c,c_1,0.0968,3.4,
c,ho2,0,1.7,
c,nh,0.1361,3.325,
c,ct,0.0968,3.3998,
c,ow,0.1287,3.2753,
c,hw,0,1.7,
c,i,0.2335,3.6154,
c,c=2,0.0968,3.4,
c,nt,0.1361,3.325,
c,ct,0.1513,3.4,
c,c=1,0.0968,3.4,
c,oc,0.1361,3.2,
c,na,0.1361,3.325,
c_0,nb,0.0736,3.7823,
c_0,cpp,0.1068,3.5782,
c_0,hn,0.0029,2.9477,
c_0,cp,0.1068,3.5782,
c_0,cpm,0.1068,3.5782,
c_0,c_0,0.12,3.308,
c_0,hc,0.0469,3.1707,
c_0,o_1,0.1755,3.4309,
c_0,cpa,0.1068,3.5782,
c_1,c_1,0.086,3.4,
c_1,ho2,0,1.7,
c_1,nh,0.1209,3.325,
c_1,ct,0.086,3.3998,
c_1,ow,0.1143,3.2753,
c_1,hw,0,1.7,
c_1,i,0.2074,3.6154,
c_1,c=2,0.086,3.4,
c_1,nt,0.1209,3.325,
c_1,ct,0.1344,3.4,
c_1,c=1,0.086,3.4,
c_1,c=,0.086,3.4,
c_1,oc,0.1209,3.2,
c_1,na,0.1209,3.325,
c=,c=,0.086,3.4,
c=,oc,0.1209,3.2,
c=,na,0.1209,3.325,
c=1,c=1,0.086,3.4,
c=1,cl,0.076,3.9007,
c=1,cp,0.0828,3.9007,
c=1,np,0.0828,3.9007,
c=1,c1,0.076,3.9007,
c=1,c,0.076,3.9007,
c=1,c3,0.076,3.9007,
c=1,hc,0.0254,3.6691,
c=1,c2,0.076,3.9007,
c=1,c=,0.086,3.4,
c=1,oc,0.1209,3.2,
c=1,na,0.1209,3.325,
c=2,c=2,0.086,3.4,
c=2,nt,0.1209,3.325,
c=2,ct,0.1344,3.4,
c=2,c=1,0.086,3.4,
c=2,c=,0.086,3.4,
c=2,oc,0.1209,3.2,
c=2,na,0.1209,3.325,
c1,c2,0.0933,3.7736,
c1,o_1,0.1755,3.4309,
c1,c3,0.0933,3.7736,
c1,c1,0.0933,3.7736,
c1,cl,0.0933,3.7736,
c2,ct,0.097,3.3997,
c2,ct,0.1516,3.3998,
c2,c2,0.1094,3.3997,
c2,c3,0.1094,3.3997,
c2,cl,0.1703,3.4353,
c2,c,0.1092,3.3998,
c2,br,0.2144,3.4994,
c2,c=,0.097,3.3998,
c2,nb,0.0759,3.9357,
c2,hx,0.0346,3.4893,
c2,hc,0.0346,3.4893,
c2,hi,0.0,3.4893,
c2,cp,0.1016,3.7736,
c2,coh,0.1094,3.3997,
c2,sf,0.1654,3.4816,
c2,oh,0.1517,3.2331,
c2,o=,0.1516,3.1798,
c2,ho,0,1.6998,
