atom1,atom2,epsilon,sigma,comments
cp,cp,0.0860,3.3997,
cp,hc,0.0367,2.9355,
cp,c2,0.0970,3.3997,
cp,cl,0.1510,3.4353,
cp,coh,0.0970,3.3997,
cp,sf,0.1466,3.4816,
cp,oh,0.1345,3.2331,
cp,o=,0.1344,3.1798,
cp,ho,0.0000,1.6998,
cp,c3,0.0970,3.3997,
cp,o,0.1209,3.1999,
cp,ct,0.0860,3.3997,
cp,cg,0.0860,3.3997,graphite sheet
cg,br,0.2140,3.4995,graphite sheet
cg,ct,0.0860,3.3997,graphite sheet
hc,hc,0.0157,2.4713,
hc,c2,0.0414,2.9355,
hc,cl,0.0645,2.9711,
hc,coh,0.0414,2.9355,
hc,sf,0.0626,3.0174,
hc,oh,0.0575,2.7689,
hc,o=,0.0574,2.7156,
hc,ho,0.0000,1.2356,
hc,c3,0.0414,2.9355,
hc,o,0.0517,2.7357,
hc,cg,0.0367,2.9355,
hc,ct,0.0367,2.9355,
c2,c2,0.1094,3.3997,
c2,cl,0.1703,3.4353,
c2,coh,0.1094,3.3997,
c2,sf,0.1654,3.4816,
c2,oh,0.1517,3.2331,
c2,o=,0.1516,3.1798,
c2,ho,0.0000,1.6998,
c2,c3,0.1094,3.3997,
c2,o,0.1364,3.1999,
c2,cg,0.0970,3.3997,
cl,cl,0.2650,3.4709,
cl,coh,0.1703,3.4353,
cl,sf,0.2574,3.5173,
cl,oh,0.2361,3.2687,
cl,o=,0.2359,3.2154,
cl,ho,0.0000,1.7355,
cl,c3,0.1703,3.4353,
cl,o,0.2122,3.2355,
cl,cg,0.1510,3.4353,
coh,coh,0.1094,3.3997,
coh,sf,0.1654,3.4816,
coh,oh,0.1517,3.2331,
coh,o=,0.1516,3.1798,
coh,ho,0.0000,1.6998,
coh,c3,0.1094,3.3997,
coh,o,0.1364,3.1999,
coh,cg,0.0970,3.3997,
sf,sf,0.2500,3.5636,
sf,oh,0.2293,3.3151,
sf,o=,0.2291,3.2617,
sf,ho,0.0000,1.7818,
sf,c3,0.1654,3.4816,
sf,o,0.2062,3.2818,
sf,cg,0.1466,3.4816,
oh,oh,0.2104,3.0665,
oh,o=,0.2102,3.0132,
oh,ho,0.0000,1.5332,
oh,c3,0.1517,3.2331,
oh,o,0.1891,3.0332,
oh,cg,0.1345,3.2331,
o=,o=,0.2100,2.9599,
o=,ho,0.0000,1.4799,
o=,c3,0.1516,3.1798,
o=,o,0.1889,2.9799,
o=,cg,0.1344,3.1798,
ho,ho,0.0000,0.0000,
ho,c3,0.0000,1.6998,
ho,o,0.0000,1.5000,
c3,cg,0.0970,3.3997,
c3,c3,0.1094,3.3997,
c3,o,0.1364,3.1999,
o,o,0.1700,3.0000,
o,cg,0.1209,3.1999,
cg,cg,0.0860,3.3997,
o1=,o1=,0.2100,2.9600,
o1=,c3,0.1344,3.1800,
o1=,h1,0.0580,2.7155,
o1=,n3m,0.1889,3.1050,
o1=,c4,0.1513,3.1800,
o1=,c,0.1513,3.1800,
o1=,cp,0.1344,3.1800,
o1=,br,0.2970,3.2795,
o1=,hc,0.0561,2.7800,
o1=,npc,0.1889,3.1050,
o1=,np,0.1889,3.1050,
o1=,c5,0.1344,3.1800,
o1=,nh,0.1889,3.1050,
o1=,hn,0.0580,2.0145,
o1=,o_1,0.2100,2.9600,
o1=,o_2,0.2100,3.0130,
